timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;21.41264;19.8044;107.0632;296.02;275.066666666667;1480.1;178.46;172.783333333333;892.3
2;34.28224;42.4859999999999;171.4112;474.65;582.2;2373.25;283.916666666666;344.499999999999;1419.58333333333
3;31.3336;35.2228000000001;156.668;435.93;451;2179.65;270.516666666667;329.666666666667;1352.58333333333
4;33.93992;36.3483999999999;169.6996;466.36;508;2331.8;290.1;328.666666666667;1450.5
5;29.9325;30.9609999999999;119.73;411.7;423.9;1646.8;238.395833333333;233;953.583333333334
6;20.0636;20.0636;20.0636;292;292;292;165.416666666667;165.416666666667;165.416666666667
7;23.9428;23.9428;23.9428;352;352;352;216.416666666667;216.416666666667;216.416666666667
8;22.348;22.348;22.348;324;324;324;196.416666666667;196.416666666667;196.416666666667
9;21.334;21.334;21.334;310;310;310;194.166666666667;194.166666666667;194.166666666667
