timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;1.12634285714286;1.12634285714286;1.12634285714286;101.333333333333;101.333333333333;101.333333333333;55;55;55
2;1.634;1.634;1.634;145;145;145;73.5;73.5;73.5
3;1.53297142857142;1.53297142857142;1.53297142857142;136;136;136;69;69;69
4;1.45382857142857;1.45382857142857;1.45382857142857;129;129;129;65.5;65.5;65.5
5;1.53331428571428;1.53331428571428;1.53331428571428;136;136;136;69;69;69
6;1.48771428571429;1.48771428571429;1.48771428571429;132;132;132;67;67;67
7;1.47685714285714;1.47685714285714;1.47685714285714;131;131;131;66.5;66.5;66.5
8;1.07051428571429;1.07051428571429;1.07051428571429;95;95;95;48.5;48.5;48.5
9;1.60068571428571;1.60068571428571;1.60068571428571;142;142;142;72;72;72
10;1.66788571428571;1.66788571428571;1.66788571428571;148;148;148;75;75;75
11;1.39788571428571;1.39788571428571;1.39788571428571;124;124;124;63;63;63
12;1.45405714285714;1.45405714285714;1.45405714285714;129;129;129;65.5;65.5;65.5
13;1.36365714285714;1.36365714285714;1.36365714285714;121;121;121;61.5;61.5;61.5
14;1.53314285714285;1.53314285714285;1.53314285714285;136;136;136;69;69;69
15;1.57788571428572;1.57788571428572;1.57788571428572;140;140;140;71;71;71
