timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;0.160711240310077;0.111186046511628;0.64284496124031;106.9375;73;427.75;70.2916666666667;52.1666666666667;281.166666666667
2;0.425328165374677;0.474410852713177;1.27598449612403;282;317;846;149.166666666666;117;447.499999999999
3;0.425304909560723;0.474403100775192;1.27591472868217;282;317;846;148.444444444444;117;445.333333333333
4;0.420271317829457;0.465565891472869;1.26081395348837;278.666666666667;308;836;146.111111111111;117.333333333333;438.333333333332
5;0.42175968992248;0.4758992248062;1.26527906976744;279.666666666667;315;839;147;117.333333333333;440.999999999999
6;0.476058139534883;0.476058139534883;0.952116279069766;316.5;316.5;633;167.333333333333;167.333333333333;334.666666666665
7;0.468554263565891;0.468554263565891;0.937108527131783;311.5;311.5;623;165.999999999999;165.999999999999;331.999999999999
8;0.479062015503876;0.479062015503876;0.958124031007751;318.5;318.5;637;168.499999999999;168.499999999999;336.999999999999
9;0.479193798449613;0.479193798449613;0.479193798449613;317;317;317;217.999999999999;217.999999999999;217.999999999999
