timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;1.17011059907834;0.977677419354838;8.19077419354838;237.714285714286;200;1664;159.547619047619;132.5;1116.83333333333
2;1.86034562211982;1.81354838709677;13.0224193548387;359.857142857143;350;2519;250.964285714285;235.333333333332;1756.75
3;1.96877880184332;2.19193548387098;13.7814516129032;381.571428571429;447;2671;265.107142857143;300;1855.75
4;1.97716129032258;2.34687096774194;13.8401290322581;384.285714285714;453;2690;266.869047619048;304;1868.08333333334
5;2.04575576036866;2.27606451612904;14.3202903225806;393.428571428571;462;2754;274.416666666667;310;1920.91666666667
6;1.96531797235023;2.03454838709677;13.7572258064516;376.142857142857;395;2633;262.892857142857;265.333333333332;1840.25
7;1.88289861751152;2.01109677419355;13.1802903225806;362.428571428571;417;2537;253.166666666667;281.999999999999;1772.16666666667
8;1.74084331797235;1.58229032258064;12.1859032258064;336.714285714286;305;2357;234.845238095238;205.333333333333;1643.91666666667
9;1.86789861751152;1.33358064516129;13.0752903225807;364.142857142857;241;2549;253.52380952381;162.666666666667;1774.66666666667
10;1.96754377880184;2.079;13.7728064516129;381.714285714286;454;2672;265.035714285715;304.666666666667;1855.25
11;2.07520737327189;1.98712903225806;14.5264516129032;400.857142857143;406;2806;279.000000000001;272.666666666666;1953
12;2.05944239631336;2.05183870967742;14.4160967741935;397.857142857143;398;2785;277;267.333333333332;1939
13;2.12163133640553;2.02793548387097;14.8514193548387;409.285714285714;388;2865;284.940476190477;260.666666666665;1994.58333333334
14;2.09236774193548;1.9718064516129;10.4618387096774;397.8;381;1989;278.933333333333;255.999999999999;1394.66666666667
15;1.60476612903226;1.67866129032258;6.41906451612903;303.75;294;1215;211.979166666666;210.124999999999;847.916666666664
16;1.85858064516129;1.85858064516129;3.71716129032258;335;335;670;240.083333333333;240.083333333333;480.166666666666
17;1.7151935483871;1.7151935483871;1.7151935483871;356;356;356;241.333333333332;241.333333333332;241.333333333332
18;1.91496774193549;1.91496774193549;1.91496774193549;397;397;397;268.666666666666;268.666666666666;268.666666666666
19;2.10754838709678;2.10754838709678;2.10754838709678;437;437;437;295.333333333333;295.333333333333;295.333333333333
