timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;0.547068181818183;0.547068181818183;1.09413636363637;188;188;376;134.291666666667;134.291666666667;268.583333333333
2;1.18571212121212;1.18571212121212;2.37142424242425;412.5;412.5;825;287.333333333335;287.333333333335;574.666666666669
3;1.21711363636364;1.21711363636364;2.43422727272728;423.5;423.5;847;295.958333333335;295.958333333335;591.916666666669
4;1.17718181818181;1.17718181818181;2.35436363636363;409.5;409.5;819;286.124999999999;286.124999999999;572.249999999999
5;1.18167424242424;1.18167424242424;2.36334848484849;411;411;822;287.166666666667;287.166666666667;574.333333333333
6;1.21569696969697;1.21569696969697;2.43139393939394;423;423;846;296.208333333333;296.208333333333;592.416666666667
7;1.20843181818182;1.20843181818182;2.41686363636364;420.5;420.5;841;294.250000000001;294.250000000001;588.500000000002
8;1.2099393939394;1.2099393939394;2.4198787878788;421;421;842;294.916666666667;294.916666666667;589.833333333334
9;1.454;1.454;1.454;508;508;508;360.833333333334;360.833333333334;360.833333333334
10;0.885439393939394;0.885439393939394;0.885439393939394;309;309;309;227.166666666666;227.166666666666;227.166666666666
11;0.645227272727273;0.645227272727273;0.645227272727273;225;225;225;171.25;171.25;171.25
12;0.713848484848488;0.713848484848488;0.713848484848488;249;249;249;189.25;189.25;189.25
13;0.7739696969697;0.7739696969697;0.7739696969697;270;270;270;205;205;205
14;0.696227272727274;0.696227272727274;0.696227272727274;243;243;243;184.75;184.75;184.75
15;0.647727272727274;0.647727272727274;0.647727272727274;226;226;226;172;172;172
