timepoint;mean;median;utility
1;313;277.5;3130
2;463.75;455;3710
3;498.125;452.5;3985
4;635.625;650;5085
5;693.75;727.5;5550
6;717.5;770;5740
7;818.125;907.5;6545
8;789.375;790;6315
9;935;977.5;7480
10;972.5;980;7780
11;895.625;982.5;7165
12;913.125;935;7305
13;1079.375;1152.5;8635
14;1100.625;985;8805
15;1006.25;1052.5;8050
16;1028.125;1145;8225
17;1130.625;1285;9045
18;1195.625;1187.5;9565
19;1065.625;1247.5;8525
20;1188.125;1305;9505
21;1112.5;1220;8900
22;1268.57142857143;1425;8880
23;1203.57142857143;1405;8425
24;1101.42857142857;1105;7710
25;965;780;6755
26;995.714285714286;790;6970
27;940;900;6580
28;1038.33333333333;1002.5;6230
29;1675.83333333333;1767.5;10055
30;1907.5;1987.5;11445
31;1612.5;1712.5;9675
32;1632.5;1850;9795
33;1803;1845;9015
34;1722;1810;8610
35;1503;1605;7515
36;1691;1650;8455
37;1526;1645;7630
38;1606;1660;8030
39;1992;1940;9960
40;1820;2250;9100
41;1956.25;2097.5;7825
42;1885;1882.5;7540
43;2098.33333333333;2460;6295
44;1885;1930;5655
45;2240;2650;6720
46;2000;2365;6000
47;1781.66666666667;1825;5345
48;2062.5;2062.5;4125
49;2312.5;2312.5;4625
50;2495;2495;4990
51;2057.5;2057.5;4115
52;2075;2075;4150
53;2477.5;2477.5;4955
54;2260;2260;4520
55;2417.5;2417.5;4835
56;3090;3090;6180
57;2852.5;2852.5;5705
58;2820;2820;5640
59;3042.5;3042.5;6085
60;2735;2735;5470
61;2730;2730;5460
62;2755;2755;5510
63;2800;2800;5600
64;3225;3225;6450
65;2342.5;2342.5;4685
66;3195;3195;6390
67;2115;2115;4230
68;2812.5;2812.5;5625
69;2742.5;2742.5;5485
70;2640;2640;5280
71;2695;2695;5390
72;2625;2625;5250
73;2795;2795;5590
74;2787.5;2787.5;5575
75;2557.5;2557.5;5115
76;2795;2795;5590
77;2080;2080;4160
78;2850;2850;5700
79;3222.5;3222.5;6445
80;3165;3165;6330
81;2307.5;2307.5;4615
82;2802.5;2802.5;5605
83;3122.5;3122.5;6245
84;2807.5;2807.5;5615
85;3067.5;3067.5;6135
86;3105;3105;6210
87;2435;2435;4870
88;2717.5;2717.5;5435
89;3130;3130;6260
90;3145;3145;6290
91;3282.5;3282.5;6565
92;2612.5;2612.5;5225
93;3627.5;3627.5;7255
94;3745;3745;3745
95;3270;3270;3270
96;3325;3325;3325
97;3085;3085;3085
98;4385;4385;4385
99;3880;3880;3880
100;2880;2880;2880
101;0;0;0
