timestamp;utility
1;440
2;395
3;420
4;470
5;530
6;615
7;650
8;685
9;755
10;690
11;725
12;810
13;760
14;690
15;820
16;830
17;905
18;830
19;745
20;800
21;360
22;640
23;820
24;875
25;815
26;845
27;850
28;1015
29;940
30;860
31;990
32;835
33;950
34;900
35;815
36;905
37;1050
38;945
39;910
40;830
41;790
42;1025
43;885
44;915
45;880
46;955
47;1080
48;925
49;910
50;850
51;930
52;950
53;1050
54;840
55;885
56;950
57;995
58;935
59;915
60;1335
61;1780
62;1700
63;1645
64;1535
65;2345
66;1995
67;1470
68;1710
69;1980
70;1045
71;2075
72;1705
73;1400
74;2095
75;1480
76;1395
77;1905
78;1185
79;2175
80;1555
81;1035
82;1785
83;2475
84;1950
85;2080
86;2830
87;2015
88;2525
89;2500
90;2520
91;2070
92;2630
93;2480
94;3650
95;2745
96;2985
97;2780
98;3870
99;2455
100;1900
101;4565
102;3430
103;2400
104;3530
105;2825
106;3435
107;4655
108;2435
109;3595
110;3190
111;3600
112;3545
113;3650
114;2805
115;3585
116;3030
117;2330
118;3345
119;3910
120;3070
121;2895
122;3860
123;2215
124;3825
125;3155
126;1855
127;2220
128;2370
129;2315
130;2915
131;2545
132;2480
133;2295
134;2505
135;2340
136;2460
137;2155
138;2155
