timepoint;mean;median;utility
1;215;115;2150
2;245;205;2450
3;290.5;232.5;2905
4;514.5;477.5;5145
5;606.5;515;6065
6;683.5;652.5;6835
7;792;687.5;7920
8;830.5;757.5;8305
9;902.5;822.5;9025
10;895.5;842.5;8955
11;964;760;9640
12;1074.5;950;10745
13;1044;955;10440
14;1140;1102.5;11400
15;1039.5;887.5;10395
16;1152.5;1080;11525
17;1187;1132.5;11870
18;1119.5;1120;11195
19;1142.5;832.5;11425
20;1016.5;972.5;10165
21;1061;917.5;10610
22;1207;1070;12070
23;1322.5;1255;13225
24;1245;1192.5;12450
25;1354.5;1387.5;13545
26;1403.5;1300;14035
27;1323.5;1297.5;13235
28;1305;1317.5;13050
29;1564;1445;15640
30;1340;1202.5;13400
31;1419.5;1395;14195
32;1504;1485;15040
33;1492;1412.5;14920
34;1508;1495;15080
35;1607.5;1630;16075
36;1394.5;1282.5;13945
37;1551.5;1482.5;15515
38;1539;1392.5;15390
39;1667.5;1525;16675
40;1527.5;1487.5;15275
41;1595.5;1427.5;15955
42;1698.5;1590;16985
43;1505;1502.5;15050
44;1669.5;1532.5;16695
45;1733;1432.5;17330
46;1599;1455;15990
47;1790;1567.5;17900
48;1705.5;1557.5;17055
49;1741;1420;17410
50;1784.5;1517.5;17845
51;1902.5;1702.5;19025
52;1811;1482.5;18110
53;1833.5;1745;18335
54;1998;1680;19980
55;1613;1360;16130
56;1908.5;1710;19085
57;1951;1617.5;19510
58;2187.5;1865;21875
59;1981;1757.5;19810
60;1958.5;1727.5;19585
61;2099.5;1842.5;20995
62;2073.5;1707.5;20735
63;2285.5;2097.5;22855
64;1940.5;1822.5;19405
65;2103.5;2110;21035
66;2073;1967.5;20730
67;2052.5;1725;20525
68;2215.5;2117.5;22155
69;2161.5;2067.5;21615
70;1985;1867.5;19850
71;2406;2337.5;24060
72;2040;2065;20400
73;2365;2025;23650
74;2009.5;2147.5;20095
75;2127.5;1990;21275
76;1883;1740;18830
77;2240;2140;22400
78;1941;1860;19410
79;2096.5;2182.5;20965
80;2167;2075;21670
81;2026.5;1947.5;20265
82;2034;2007.5;20340
83;2064.5;2235;20645
84;2183;2132.5;21830
85;2108;2065;21080
86;2209.5;2107.5;22095
87;2057.5;2080;20575
88;2093;2062.5;20930
89;2344.5;2435;23445
90;2099;2062.5;20990
91;2171;2260;21710
92;2419.5;2370;24195
93;2308.5;2305;23085
94;2224.5;2020;22245
95;2148.5;2170;21485
96;2420.55555555556;2430;21785
97;2379.44444444444;2400;21415
98;2365;2120;21285
99;2102.22222222222;2125;18920
100;2434.44444444444;2450;21910
101;2507.22222222222;2280;22565
102;2406.11111111111;2370;21655
103;2162.22222222222;2290;19460
104;2412.22222222222;2340;21710
105;2463.33333333333;2650;22170
106;2426.11111111111;2365;21835
107;2463.33333333333;2390;22170
108;2141.66666666667;2080;19275
109;2384.44444444444;2265;21460
110;2450;2310;22050
111;2547.77777777778;2540;22930
112;2226.66666666667;2085;20040
113;2482.77777777778;2390;22345
114;2151.66666666667;2260;19365
115;2231.11111111111;2200;20080
116;2345.55555555556;2425;21110
117;2315;2325;20835
118;2370.55555555556;2310;21335
119;2287.77777777778;2335;20590
120;2121.66666666667;1985;19095
121;2371.66666666667;2295;21345
122;2621.11111111111;2545;23590
123;2171.11111111111;2215;19540
124;2258.33333333333;2210;20325
125;2279.44444444444;2210;20515
126;2206.66666666667;1985;19860
127;2178.33333333333;2220;19605
128;2035.55555555556;1815;18320
129;2165;2255;19485
130;2203.88888888889;2340;19835
131;2321.66666666667;2410;20895
132;2130.625;2072.5;17045
133;2098.125;2170;16785
134;2238.75;2345;17910
135;2136.25;2097.5;17090
136;2481.875;2485;19855
137;1994.375;1935;15955
138;2041.25;1950;16330
139;2434.28571428571;2430;17040
140;2009.28571428571;2145;14065
141;2079.28571428571;2220;14555
142;2382.85714285714;2375;16680
143;2325;2380;16275
144;2310;2180;16170
145;2219.28571428571;2410;15535
146;2350;2155;16450
147;2485.71428571429;2655;17400
148;2140;2055;14980
149;2285.71428571429;2145;16000
150;2158.57142857143;2230;15110
151;2275;2305;15925
152;2336.42857142857;2260;16355
153;2455.71428571429;2600;17190
154;2048.57142857143;1910;14340
155;2458.57142857143;2510;17210
156;2285.71428571429;2575;16000
157;2059.28571428571;2045;14415
158;2462.85714285714;2360;17240
159;2086.42857142857;2370;14605
160;2482.14285714286;2155;17375
161;2131.42857142857;2475;14920
162;2450;2202.5;14700
163;2249.16666666667;2015;13495
164;2271.66666666667;2067.5;13630
165;2492.5;2237.5;14955
166;2263.33333333333;2237.5;13580
167;2256.66666666667;2185;13540
168;2167;2300;10835
169;2820;2580;14100
170;2197;2100;10985
171;2268;2135;11340
172;2477;2580;12385
173;2335;2340;11675
174;2323;2105;11615
175;2517;2515;12585
176;2579;2640;12895
177;2384;2405;11920
178;2515;2385;12575
179;2229;2115;11145
180;2310;2195;11550
181;2356;2680;11780
182;2394;2575;11970
183;2511;2290;12555
184;2684;2720;13420
185;2289;2280;11445
186;2832;2970;14160
187;2802;2685;14010
188;2495;2595;12475
189;2526;2575;12630
190;2403;2430;12015
191;2389;2330;11945
192;2527;2645;12635
193;2516;2490;12580
194;2519;2770;12595
195;2822;2970;14110
196;2387;2450;11935
197;2589;2735;12945
198;2348;2110;11740
199;2571;2600;12855
200;2318;2265;11590
201;2534;2500;12670
202;2795;2685;13975
203;2371;2190;11855
204;2435;2490;12175
205;2472;2450;12360
206;2594;2825;12970
207;2610;2850;13050
208;2507;2630;12535
209;2922;2870;14610
210;2760;2655;13800
211;2554;2570;12770
212;2949;2915;14745
213;2518;2355;12590
214;2526;2595;12630
215;2648;2725;13240
216;2634;2825;13170
217;2853;2800;14265
218;2395;2180;11975
219;2547;2455;12735
220;2841;2700;14205
221;2383;2350;11915
222;2963;2645;14815
