timestamp;utility
timestamp;utility
1;100
2;355
3;445
4;465
5;695
6;650
7;775
8;870
9;1015
10;955
11;850
12;915
13;1070
14;1130
15;960
16;1120
17;965
18;1280
19;1140
20;1145
21;115
timestamp;utility
1;100
2;355
3;445
4;465
5;695
6;650
7;775
8;870
9;1015
10;955
11;850
12;915
13;1070
14;1130
15;960
16;1120
17;965
18;1280
19;1140
20;1145
21;115
timestamp;utility
1;100
2;355
3;445
4;465
5;695
6;650
7;775
8;870
9;1015
10;955
11;850
12;915
13;1070
14;1130
15;960
16;1120
17;965
18;1280
19;1140
20;1145
timestamp;utility
1;100
2;355
3;445
4;465
5;695
6;650
7;775
8;870
9;1015
10;955
11;850
12;915
13;1070
14;1130
15;960
16;1120
17;965
18;1280
19;1140
20;1145
timestamp;utility
1;100
2;355
3;445
4;465
5;695
6;650
7;775
8;870
9;1015
10;955
11;850
12;915
13;1070
14;1130
15;960
16;1120
17;965
18;1280
19;1140
20;1145
timestamp;utility
1;100
2;355
3;445
4;465
5;695
6;650
7;775
8;870
9;1015
10;955
11;850
12;915
13;1070
14;1130
15;960
16;1120
17;965
18;1280
19;1140
20;1145
timestamp;utility
1;100
2;355
3;445
4;465
5;695
6;650
7;775
8;870
9;1015
10;955
11;850
12;915
13;1070
14;1130
15;960
16;1120
17;965
18;1280
19;1140
20;1145
timestamp;utility
1;100
2;355
3;445
4;465
5;695
6;650
7;775
8;870
9;1015
10;955
11;850
12;915
13;1070
14;1130
15;960
16;1120
17;965
18;1280
19;1140
20;1145
