timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;0.966731707317074;0.958024390243903;2.90019512195122;203;204;609;132.611111111111;137.166666666667;397.833333333334
2;1.57344715447154;1.35334146341463;4.72034146341462;333.333333333333;284;1000;204.611111111111;192.333333333333;613.833333333333
3;1.63930081300813;1.46265853658537;4.91790243902439;347.333333333333;307;1042;213.611111111111;207.666666666666;640.833333333332
4;1.64875609756097;1.46739024390244;4.9462682926829;349.333333333333;308;1048;214.777777777778;208.333333333333;644.333333333334
5;1.63244715447154;1.46260975609756;4.89734146341462;346;307;1038;212.944444444444;207.666666666666;638.833333333332
6;1.9245975609756;1.9245975609756;3.8491951219512;410.5;410.5;821;261.333333333333;261.333333333333;522.666666666666
7;1.51303658536585;1.51303658536585;3.02607317073171;321.5;321.5;643;217.333333333333;217.333333333333;434.666666666665
8;1.47609756097561;1.47609756097561;2.95219512195122;313.5;313.5;627;213.166666666666;213.166666666666;426.333333333332
