timestamp;utility
1;415
2;590
3;565
4;680
5;840
6;970
7;880
8;935
9;990
10;1090
11;1320
12;875
13;1275
14;1345
15;1255
16;1465
17;1270
18;1135
19;1195
20;1360
21;1795
22;1130
23;1025
24;805
25;1485
26;1290
27;1925
28;1455
29;1825
30;1750
31;1435
32;1445
33;1390
34;1400
35;1650
36;1365
37;1990
38;1650
39;1810
40;1945
41;1845
42;1625
43;1960
44;1910
45;1700
46;1935
47;1745
48;2005
49;2055
50;2250
51;2125
52;1475
53;2400
54;2015
55;2190
56;1645
57;1805
58;2505
59;2050
60;2345
61;2065
62;1725
63;1645
64;1565
65;2260
66;2285
67;1700
68;2195
69;1565
