timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;1.39691851851852;1.69472222222222;6.98459259259259;396.11;484;1980.55;279.773333333333;332.916666666666;1398.86666666667
2;1.44968518518518;1.47396296296296;5.79874074074073;412.25;418.5;1649;298.466666666666;301.999999999999;1193.86666666667
3;1.40714814814814;1.38558333333333;5.62859259259258;400.25;396;1601;294.229166666667;285.583333333333;1176.91666666667
4;1.42971759259259;1.40938888888889;5.71887037037036;406.75;399;1627;299.608333333333;298.800000000001;1198.43333333333
5;1.45574999999999;1.45793518518518;5.82299999999998;414;412.5;1656;305.487499999999;301.416666666665;1221.95
6;1.45900462962963;1.41089814814814;5.8360185185185;415;402.5;1660;306.258333333333;291.333333333332;1225.03333333333
7;1.41479166666666;1.35536111111111;5.65916666666665;402.5;387.5;1610;296.879166666666;280.583333333332;1187.51666666667
8;1.70819444444444;1.70819444444444;3.41638888888888;487;487;974;372.925000000003;372.925000000003;745.850000000006
9;1.41764814814815;1.41764814814815;2.83529629629629;402;402;804;316.833333333333;316.833333333333;633.666666666667
10;1.28750925925926;1.28750925925926;2.57501851851851;363.5;363.5;727;293.466666666667;293.466666666667;586.933333333335
11;1.24435185185185;1.24435185185185;2.48870370370369;351.5;351.5;703;283.866666666668;283.866666666668;567.733333333335
12;1.23152777777778;1.23152777777778;2.46305555555556;348;348;696;280.433333333334;280.433333333334;560.866666666668
13;1.17694444444444;1.17694444444444;2.35388888888888;332.5;332.5;665;268.650000000001;268.650000000001;537.300000000002
14;1.27553703703703;1.27553703703703;2.55107407407406;360.5;360.5;721;289.891666666668;289.891666666668;579.783333333335
15;1.30657407407407;1.30657407407407;2.61314814814814;369;369;738;297.775;297.775;595.550000000001
16;1.20689814814815;1.20689814814815;2.4137962962963;340.5;340.5;681;276.533333333334;276.533333333334;553.066666666669
17;1.24474074074074;1.24474074074074;2.48948148148147;351.5;351.5;703;284.65;284.65;569.300000000001
18;1.09312037037037;1.09312037037037;2.18624074074073;308.5;308.5;617;251.175;251.175;502.350000000001
19;1.10330555555556;1.10330555555556;2.20661111111111;311;311;622;253.791666666667;253.791666666667;507.583333333334
20;1.04403703703703;1.04403703703703;2.08807407407407;294.5;294.5;589;240.200000000001;240.200000000001;480.400000000001
21;1.06823148148148;1.06823148148148;2.13646296296296;301.5;301.5;603;244.783333333334;244.783333333334;489.566666666667
22;1.04243518518519;1.04243518518519;2.08487037037037;294;294;588;239.700000000001;239.700000000001;479.400000000001
23;1.02826851851852;1.02826851851852;2.05653703703703;290;290;580;236.9;236.9;473.800000000001
24;1.01923148148148;1.01923148148148;2.03846296296295;287.5;287.5;575;234.241666666668;234.241666666668;468.483333333335
25;0.958509259259254;0.958509259259254;1.91701851851851;271;271;542;218.941666666667;218.941666666667;437.883333333334
26;0.632037037037037;0.632037037037037;0.632037037037037;177;177;177;152.166666666666;152.166666666666;152.166666666666
27;0.664259259259259;0.664259259259259;0.664259259259259;186;186;186;159.666666666666;159.666666666666;159.666666666666
28;0.628407407407407;0.628407407407407;0.628407407407407;176;176;176;151.333333333333;151.333333333333;151.333333333333
29;0.707407407407407;0.707407407407407;0.707407407407407;198;198;198;169.666666666666;169.666666666666;169.666666666666
30;0.689296296296296;0.689296296296296;0.689296296296296;193;193;193;165.5;165.5;165.5
31;0.675148148148147;0.675148148148147;0.675148148148147;189;189;189;162.166666666666;162.166666666666;162.166666666666
