timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;0.31327868852459;0.31327868852459;0.62655737704918;147.1;147.1;294.2;112.875;112.875;225.75
2;0.315868852459016;0.315868852459016;0.631737704918032;149;149;298;90.5;90.5;181
3;0.309775956284153;0.309775956284153;0.619551912568306;146;146;292;88.5;88.5;177
4;0.272743169398907;0.272743169398907;0.545486338797814;128.5;128.5;257;79.75;79.75;159.5
5;0.268486338797814;0.268486338797814;0.536972677595629;126.5;126.5;253;78.75;78.75;157.5
6;0.285398907103826;0.285398907103826;0.570797814207651;134.5;134.5;269;82.75;82.75;165.5
7;0.268513661202186;0.268513661202186;0.537027322404372;126.5;126.5;253;78.75;78.75;157.5
8;0.288601092896175;0.288601092896175;0.57720218579235;136;136;272;83.5;83.5;167
9;0.285486338797814;0.285486338797814;0.570972677595629;134.5;134.5;269;82.75;82.75;165.5
10;0.35948087431694;0.35948087431694;0.71896174863388;169.5;169.5;339;100.25;100.25;200.5
11;0.352087431693988;0.352087431693988;0.704174863387977;166;166;332;98.5;98.5;197
12;0.311775956284153;0.311775956284153;0.623551912568305;147;147;294;89;89;178
13;0.354224043715846;0.354224043715846;0.708448087431693;167;167;334;99;99;198
14;0.345715846994536;0.345715846994536;0.691431693989071;163;163;326;97;97;194
15;0.332994535519126;0.332994535519126;0.665989071038252;157;157;314;94;94;188
16;0.33307650273224;0.33307650273224;0.66615300546448;157;157;314;94;94;188
17;0.322437158469946;0.322437158469946;0.644874316939892;152;152;304;91.5;91.5;183
18;0.352448087431694;0.352448087431694;0.352448087431694;166;166;166;98;98;98
