timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;3.407703125;3.71871875;27.261625;284.6625;313.3;2277.3;200.5375;222.75;1604.3
2;4.93283035714286;4.48412500000002;34.5298125;413.428571428571;372;2894;286.321428571428;261.916666666667;2004.25
3;4.57873214285714;3.89749999999999;32.051125;383.714285714286;324;2686;266.416666666666;223.999999999999;1864.91666666666
4;4.62039285714285;3.87318749999999;32.34275;387;327;2709;268.309523809524;225.999999999999;1878.16666666667
5;4.61758035714286;3.88393749999999;32.3230625;387;323;2709;268.583333333333;223.333333333333;1880.08333333333
6;4.61775892857142;3.90881249999999;32.3243125;386.857142857143;324;2708;267.821428571428;224.333333333333;1874.75
7;4.57589583333333;4.21053125000001;27.455375;384.166666666667;349;2305;277.055555555555;255.624999999999;1662.33333333333
8;4.826796875;4.32850000000002;19.3071875;404.75;360;1619;297.666666666668;275.875;1190.66666666667
9;4.3311875;4.38753125000002;17.32475;364;365.5;1456;270.8125;280;1083.25
10;4.23602083333334;4.19918750000001;12.7080625;353.333333333333;350;1060;270.25;267.75;810.75
11;4.22214583333334;4.20962500000001;12.6664375;352;351;1056;269.25;268.5;807.75
12;4.03043750000001;3.99131249999999;12.0913125;336;335;1008;257.25;255.25;771.75
13;4.20810416666667;4.19149999999998;12.6243125;351;352;1053;268.5;268;805.5
14;4.13214583333334;4.12481250000002;12.3964375;345;343;1035;264;263.75;792
15;3.92946875;3.92946875;7.8589375;329;329;658;251.375;251.375;502.75
16;4.0766875;4.0766875;8.153375;341;341;682;260.375;260.375;520.75
17;4.11687499999998;4.11687499999998;4.11687499999998;346;346;346;263.5;263.5;263.5
