timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;0.51396;0.51396;1.02792;34.875;34.875;69.75;27.5833333333333;27.5833333333333;55.1666666666667
2;2.02712;2.02712;2.02712;131.5;131.5;131.5;69;69;69
3;2.24504;2.24504;2.24504;145.5;145.5;145.5;76;76;76
4;2.05808;2.05808;2.05808;133.5;133.5;133.5;70;70;70
5;2.21368;2.21368;2.21368;143.5;143.5;143.5;75;75;75
6;1.99576;1.99576;1.99576;129.5;129.5;129.5;68;68;68
7;1.8088;1.8088;1.8088;117.5;117.5;117.5;62;62;62
8;1.68416;1.68416;1.68416;109.5;109.5;109.5;58;58;58
9;1.93344;1.93344;1.93344;125.5;125.5;125.5;66;66;66
10;1.93344;1.93344;1.93344;125.5;125.5;125.5;66;66;66
11;2.02712;2.02712;2.02712;131.5;131.5;131.5;69;69;69
12;1.90208;1.90208;1.90208;123.5;123.5;123.5;65;65;65
13;2.10544;2.10544;2.10544;136.5;136.5;136.5;71.5;71.5;71.5
14;2.01072;2.01072;2.01072;130.5;130.5;130.5;68.5;68.5;68.5
15;1.99576;1.99576;1.99576;129.5;129.5;129.5;68;68;68
16;2.1204;2.1204;2.1204;137.5;137.5;137.5;72;72;72
