timestamp;utility;agent_index;meeting_index 
1;0.266;164;109.5;
2;0.393373626373626;250;168.666666666667;
3;0.406043956043954;258;174;
4;0.393373626373628;250;168.666666666667;
5;0.355835164835166;226;152.666666666667;
6;0.374604395604393;238;160.666666666667;
7;0.399945054945054;254;171.333333333333;
8;0.3670989010989;233;157.333333333333;
9;0.365692307692306;232;156.666666666667;
10;0.237120879120879;150;102;
11;0.232428571428572;147;100;
12;0.363813186813188;231;156;
13;0.27278021978022;173;117.333333333334;
14;0.363813186813185;231;156;
