timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;0.265863553113553;0.244956043956045;2.12690842490843;235.875;193.5;1887;158.135416666667;129.416666666667;1265.08333333333
2;0.412677655677655;0.444802197802197;3.30142124542124;360.5;412;2884;241.208333333333;268.333333333332;1929.66666666666
3;0.441923992673992;0.491208791208791;3.53539194139194;386.75;443;3094;258.291666666667;285.999999999999;2066.33333333333
4;0.427416666666666;0.42835531135531;3.41933333333333;373.125;403.5;2985;249.708333333333;261.666666666666;1997.66666666667
5;0.419740842490842;0.412824175824175;3.35792673992674;365.875;382;2927;244.375;245.333333333333;1955
6;0.395220695970696;0.365300366300366;3.16176556776557;343.625;332.5;2749;230.166666666666;214.833333333333;1841.33333333333
7;0.39822619047619;0.408996336996337;3.18580952380952;344.5;347;2756;230.416666666666;223.166666666666;1843.33333333333
8;0.376967948717948;0.352084249084249;3.01574358974359;326.625;316;2613;218.979166666667;204.416666666667;1751.83333333333
9;0.357743589743589;0.345520146520146;2.86194871794872;311.25;321.5;2490;208.479166666666;207.083333333333;1667.83333333333
10;0.370435897435897;0.367479853479852;2.96348717948718;322.5;350;2580;215.604166666666;227.916666666666;1724.83333333333
11;0.379586080586081;0.361831501831502;3.03668864468865;329.375;336;2635;220.625;216.999999999999;1765
12;0.385423076923076;0.360948717948718;3.08338461538461;334.875;345;2679;223.875;232.333333333333;1791
13;0.409583464154892;0.392622710622711;2.86708424908424;356;339;2492;238.428571428571;207.333333333333;1669
14;0.419506715506715;0.434923076923077;2.51704029304029;364.5;398;2187;242.916666666666;254.749999999999;1457.5
15;0.474124542124542;0.474124542124542;0.474124542124542;484;484;484;328.666666666667;328.666666666667;328.666666666667
16;0.470666666666666;0.470666666666666;0.470666666666666;480;480;480;326;326;326
