1420171206713;start
1420171207387;v2m16;1.0
1420171207510;v2m4;1.0
1420171207398;v2m4;1.0
1420171207541;v2m4;1.0
1420171207511;v2m3;1.0
1420171207400;v2m3;1.0
1420171207606;v2m5;0.75
1420171207537;v2m5;0.75
1420171207510;v2m5;0.75
1420171207396;v2m5;0.75
1420171207568;v2m5;0.75
1420171207570;v2m12;1.0
1420171207534;v2m12;1.0
1420171207388;v2m12;1.0
1420171207505;v2m12;1.0
1420171207577;v2m7;1.0
1420171207539;v2m7;1.0
1420171207640;v2m7;1.0
1420171207481;v2m7;0.75
1420171207613;v2m7;1.0
1420171207512;v2m7;0.75
1420171207511;v2m8;1.0
1420171207606;v2m8;0.75
1420171207538;v2m8;0.75
1420171207675;v2m8;0.75
1420171207637;v2m8;0.75
1420171207568;v2m8;0.75
1420171207398;v2m8;1.0
1420171207533;v1m3;1.0
1420171207508;v1m3;0.75
1420171207634;v1m3;1.0
1420171207773;v1m3;1.0
1420171207700;v1m3;1.0
1420171207567;v1m3;0.75
1420171207604;v1m3;1.0
1420171207672;v1m3;0.75
1420171207398;v1m3;0.75
1420171207731;v1m3;1.0
1420171207609;v1m4;1.0
1420171207397;v1m4;0.75
1420171207806;v1m4;1.0
1420171207707;v1m4;0.75
1420171207777;v1m4;1.0
1420171207538;v1m4;0.75
1420171207509;v1m4;0.75
1420171207740;v1m4;0.75
1420171207632;v1m4;0.75
1420171207575;v1m4;1.0
1420171207677;v1m4;0.75
1420171207776;v1m12;1.0
1420171207806;v1m12;0.75
1420171207705;v1m12;0.75
1420171207571;v1m12;1.0
1420171207392;v1m12;1.0
1420171207637;v1m12;0.75
1420171207537;v1m12;1.0
1420171207506;v1m12;1.0
1420171207739;v1m12;1.0
1420171207676;v1m12;0.75
1420171207605;v1m12;0.75
1420171207832;v1m12;0.75
1420171207741;v1m5;0.75
1420171207678;v1m5;0.75
1420171207508;v1m5;0.75
1420171207395;v1m5;0.75
1420171207573;v1m5;1.0
1420171207838;v1m5;1.0
1420171207639;v1m5;0.75
1420171207539;v1m5;1.0
1420171207706;v1m5;0.75
1420171207779;v1m5;0.75
1420171207608;v1m5;1.0
1420171207807;v1m5;1.0
1420171207859;v1m5;1.0
1420171207674;v1m14;1.0
1420171207391;v1m14;1.0
1420171207705;v1m14;1.0
1420171207510;v1m14;1.0
1420171207633;v1m14;1.0
1420171207781;v1m14;1.0
1420171207858;v1m14;1.0
1420171207743;v1m14;1.0
1420171207605;v1m14;1.0
1420171207568;v1m14;1.0
1420171207536;v1m14;0.75
1420171207886;v1m14;1.0
1420171207832;v1m14;1.0
1420171207805;v1m14;1.0
1420171208019;v2m15;1.0
1420171207533;v2m15;0.75
1420171207741;v2m15;1.0
1420171207904;v2m15;0.75
1420171207704;v2m15;1.0
1420171207831;v2m15;1.0
1420171207603;v2m15;1.0
1420171207630;v2m15;1.0
1420171208061;v2m15;1.0
1420171207966;v2m15;1.0
1420171207777;v2m15;1.0
1420171207803;v2m15;1.0
1420171207857;v2m15;1.0
1420171207943;v2m15;1.0
1420171207567;v2m15;1.0
1420171208073;v2m15;1.0
1420171208085;v2m15;1.0
1420171207672;v2m15;1.0
1420171207885;v2m15;1.0
1420171207988;v2m15;1.0
1420171208096;v2m15;1.0
1420171207387;v2m15;1.0
1420171207507;v2m15;1.0
1420171208007;v2m15;1.0
1420171207925;v2m15;0.75
1420171208047;v2m15;1.0
1420171208036;v2m15;1.0
1420171207609;v2m4;1.0
1420171208008;v2m4;0.75
1420171207679;v2m4;1.0
1420171207839;v2m4;1.0
1420171207990;v2m4;0.75
1420171207707;v2m4;1.0
1420171207863;v2m4;1.0
1420171207640;v2m4;1.0
1420171207907;v2m4;1.0
1420171207780;v2m4;1.0
1420171207927;v2m4;1.0
1420171207575;v2m4;1.0
1420171207742;v2m4;1.0
1420171207945;v2m4;0.75
1420171207808;v2m4;1.0
1420171207886;v2m4;1.0
1420171207967;v2m4;1.0
1420171207968;v1m14;1.0
1420171207906;v1m14;1.0
1420171207944;v1m14;1.0
1420171207927;v1m14;1.0
1420171207989;v1m14;1.0
1420171207741;v1m8;1.0
1420171208008;v1m8;1.0
1420171207783;v1m8;1.0
1420171207834;v1m8;1.0
1420171207704;v1m8;1.0
1420171207806;v1m8;1.0
1420171207860;v1m8;1.0
1420171207679;v1m8;0.75
1420171207639;v1m8;1.0
1420171207969;v1m8;1.0
1420171207611;v1m8;1.0
1420171207884;v1m8;0.75
1420171207537;v1m8;0.75
1420171207510;v1m8;0.75
1420171207944;v1m8;0.75
1420171207575;v1m8;0.75
1420171207989;v1m8;1.0
1420171207905;v1m8;0.75
1420171207480;v1m8;1.0
1420171207928;v1m8;0.75
1420171208019;v2m5;1.0
1420171207674;v2m5;0.75
1420171208048;v2m5;1.0
1420171208061;v2m5;1.0
1420171207966;v2m5;0.75
1420171207803;v2m5;0.75
1420171207857;v2m5;0.75
1420171207943;v2m5;0.75
1420171207638;v2m5;0.75
1420171208128;v2m5;1.0
1420171207700;v2m5;0.75
1420171207738;v2m5;0.75
1420171207881;v2m5;0.75
1420171208073;v2m5;1.0
1420171208085;v2m5;1.0
1420171207906;v2m5;0.75
1420171208118;v2m5;1.0
1420171207988;v2m5;1.0
1420171208096;v2m5;1.0
1420171207829;v2m5;0.75
1420171208007;v2m5;1.0
1420171207925;v2m5;0.75
1420171208107;v2m5;1.0
1420171208036;v2m5;1.0
1420171207775;v2m5;0.75
1420171207802;v1m1;0.75
1420171207566;v1m1;1.0
1420171207856;v1m1;0.75
1420171207880;v1m1;1.0
1420171207903;v1m1;1.0
1420171207768;v1m1;1.0
1420171207509;v1m1;1.0
1420171207942;v1m1;0.75
1420171207987;v1m1;0.75
1420171207828;v1m1;0.75
1420171207604;v1m1;1.0
1420171207535;v1m1;1.0
1420171207672;v1m1;1.0
1420171208006;v1m1;0.75
1420171207394;v1m1;1.0
1420171207636;v1m1;1.0
1420171207736;v1m1;1.0
1420171207703;v1m1;1.0
1420171207924;v1m1;1.0
1420171207963;v1m1;1.0
1420171207533;v1m2;1.0
1420171207856;v1m2;1.0
1420171207879;v1m2;1.0
1420171207700;v1m2;1.0
1420171207923;v1m2;0.75
1420171207768;v1m2;0.75
1420171207942;v1m2;0.75
1420171208005;v1m2;0.75
1420171207567;v1m2;1.0
1420171207604;v1m2;0.75
1420171207732;v1m2;1.0
1420171207985;v1m2;0.75
1420171207672;v1m2;1.0
1420171207506;v1m2;1.0
1420171207632;v1m2;0.75
1420171207829;v1m2;0.75
1420171207394;v1m2;0.75
1420171207801;v1m2;0.75
1420171207905;v1m2;0.75
1420171207963;v1m2;0.75
1420171207680;v2m7;1.0
1420171207806;v2m7;1.0
1420171207705;v2m7;1.0
1420171207784;v2m7;1.0
1420171207743;v2m7;1.0
1420171207387;v2m10;1.0
1420171207504;v2m10;1.0
1420171207856;v1m3;0.75
1420171207880;v1m3;0.75
1420171207828;v1m3;0.75
1420171207902;v1m3;0.75
1420171207804;v1m3;1.0
1420171207773;v2m8;0.75
1420171207705;v2m8;0.75
1420171207803;v2m8;0.75
1420171207943;v2m8;0.75
1420171207738;v2m8;0.75
1420171207987;v2m8;0.75
1420171207881;v2m8;0.75
1420171207828;v2m8;0.75
1420171207858;v2m8;0.75
1420171207964;v2m8;0.75
1420171208006;v2m8;0.75
1420171207905;v2m8;0.75
1420171207925;v2m8;0.75
1420171207506;v1m10;1.0
1420171207394;v1m10;1.0
1420171207834;v1m4;1.0
1420171207908;v1m4;1.0
1420171207926;v1m4;1.0
1420171208005;v1m4;1.0
1420171207985;v1m4;1.0
1420171207858;v1m4;1.0
1420171207945;v1m4;1.0
1420171207963;v1m4;1.0
1420171207886;v1m4;1.0
1420171207508;v2m1;1.0
1420171207802;v2m1;1.0
1420171207674;v2m1;1.0
1420171207397;v2m1;1.0
1420171207831;v2m1;1.0
1420171207701;v2m1;1.0
1420171207880;v2m1;1.0
1420171207733;v2m1;1.0
1420171207857;v2m1;1.0
1420171207943;v2m1;1.0
1420171207986;v2m1;1.0
1420171208005;v2m1;1.0
1420171207770;v2m1;1.0
1420171207635;v2m1;0.75
1420171207569;v2m1;0.75
1420171207906;v2m1;1.0
1420171207535;v2m1;1.0
1420171207964;v2m1;1.0
1420171207605;v2m1;1.0
1420171207924;v2m1;1.0
1420171207904;v2m2;0.75
1420171207674;v2m2;0.75
1420171207403;v2m2;0.75
1420171207511;v2m2;1.0
1420171207733;v2m2;0.75
1420171207857;v2m2;0.75
1420171207986;v2m2;1.0
1420171207923;v2m2;1.0
1420171207942;v2m2;1.0
1420171207830;v2m2;0.75
1420171207881;v2m2;0.75
1420171207635;v2m2;1.0
1420171207702;v2m2;1.0
1420171207535;v2m2;1.0
1420171207964;v2m2;1.0
1420171207779;v2m2;0.75
1420171207605;v2m2;1.0
1420171207568;v2m2;1.0
1420171208006;v2m2;1.0
1420171207805;v2m2;0.75
1420171207887;v2m3;1.0
1420171207679;v2m3;1.0
1420171207835;v2m3;1.0
1420171207908;v2m3;1.0
1420171207611;v2m3;1.0
1420171207539;v2m3;1.0
1420171207633;v2m3;1.0
1420171207708;v2m3;1.0
1420171207858;v2m3;1.0
1420171207811;v2m3;1.0
1420171207742;v2m3;1.0
1420171207576;v2m3;1.0
1420171207782;v2m3;1.0
1420171207505;v2m16;1.0
1420171208019;v1m15;0.75
1420171207609;v1m15;0.75
1420171207904;v1m15;0.75
1420171207883;v1m15;0.75
1420171207573;v1m15;0.75
1420171208084;v1m15;0.75
1420171208061;v1m15;0.75
1420171207534;v1m15;0.75
1420171208095;v1m15;0.75
1420171207740;v1m15;0.75
1420171207942;v1m15;1.0
1420171207637;v1m15;0.75
1420171208073;v1m15;1.0
1420171207858;v1m15;0.75
1420171207702;v1m15;0.75
1420171207988;v1m15;1.0
1420171207804;v1m15;1.0
1420171207927;v1m15;1.0
1420171207478;v1m15;0.75
1420171207833;v1m15;1.0
1420171207677;v1m15;1.0
1420171207507;v1m15;0.75
1420171207782;v1m15;0.75
1420171208007;v1m15;1.0
1420171208047;v1m15;1.0
1420171207967;v1m15;1.0
1420171208036;v1m15;1.0
1420171207506;v1m16;1.0
1420171207388;v1m16;1.0
1420171207388;v2m11;1.0
1420171207505;v2m11;1.0
1420171207776;v2m12;1.0
1420171207962;v2m12;0.75
1420171207856;v2m12;0.75
1420171207630;v2m12;1.0
1420171207606;v2m12;1.0
1420171207705;v2m12;1.0
1420171207738;v2m12;1.0
1420171207944;v2m12;0.75
1420171207885;v2m12;1.0
1420171207907;v2m12;1.0
1420171207676;v2m12;1.0
1420171207925;v2m12;0.75
1420171207832;v2m12;1.0
1420171207805;v2m12;1.0
1420171207507;v1m11;0.75
1420171207394;v1m11;0.75
1420171208008;v1m5;1.0
1420171208037;v1m5;0.75
1420171208048;v1m5;1.0
1420171208061;v1m5;0.75
1420171207966;v1m5;0.75
1420171208128;v1m5;0.75
1420171207926;v1m5;1.0
1420171208020;v1m5;1.0
1420171208073;v1m5;1.0
1420171208085;v1m5;0.75
1420171208118;v1m5;0.75
1420171207944;v1m5;1.0
1420171207885;v1m5;1.0
1420171208096;v1m5;1.0
