timestamp;utility
1;5
2;5
3;20
4;20
5;15
6;10
7;15
8;45
9;25
10;15
11;35
12;10
13;15
14;15
15;55
16;20
17;20
18;10
19;25
20;20
21;5
22;20
23;5
24;25
25;15
26;10
27;15
28;15
29;20
30;20
31;10
32;30
33;5
34;15
35;25
36;15
37;25
38;10
39;50
40;10
41;15
42;25
43;10
44;30
45;5
46;20
47;15
48;20
49;25
50;5
51;35
52;5
53;35
54;10
55;15
56;50
57;15
58;20
59;10
60;30
61;5
62;25
63;15
64;25
65;20
66;15
67;25
68;5
69;30
70;10
71;50
72;15
73;20
74;20
75;15
76;20
77;10
78;25
79;10
80;35
81;15
82;15
83;20
84;5
85;30
86;10
87;45
88;20
89;15
90;15
91;10
92;20
93;15
94;30
95;15
96;45
97;15
98;20
99;15
100;10
101;10
102;5
timestamp;utility
1;15
2;45
3;40
4;25
5;65
6;30
7;55
8;65
9;55
10;90
11;110
12;60
13;90
14;145
timestamp;utility
1;15
2;45
3;40
4;25
5;65
6;30
7;55
8;65
9;55
10;90
11;110
12;60
13;90
14;145
timestamp;utility
1;15
2;45
3;40
4;25
5;65
6;30
7;55
8;65
9;55
10;90
11;110
12;60
13;90
14;145
timestamp;utility
1;15
2;10
3;20
4;30
5;5
6;65
7;10
8;60
9;30
10;25
11;20
12;25
13;25
14;15
15;35
16;30
17;15
18;30
19;15
20;30
21;10
22;60
23;40
24;35
25;15
26;30
27;15
28;45
29;10
30;35
31;10
32;30
33;50
34;20
35;30
36;20
37;35
38;15
39;50
40;15
41;25
42;35
43;15
44;55
45;20
46;35
47;25
48;15
49;30
50;15
51;40
52;15
53;20
54;30
55;50
56;25
57;30
58;15
59;20
60;20
61;35
62;35
63;30
64;20
65;35
66;20
67;20
68;25
69;15
70;25
71;15
72;35
73;25
74;15
75;20
76;20
77;20
78;45
79;15
80;25
81;15
82;20
83;30
84;5
85;35
86;45
87;10
88;20
