timestamp;utility
1;90
2;65
3;60
4;50
5;35
6;100
7;55
8;25
9;10
10;25
11;15
12;10
13;10
14;20
15;45
16;5
17;40
18;15
19;10
20;30
21;35
22;10
23;20
24;10
25;20
26;10
27;10
28;20
29;5
30;15
31;40
32;5
33;10
34;50
35;10
36;10
37;10
38;25
39;10
40;10
41;15
42;5
43;10
44;50
45;30
46;5
47;20
48;5
49;5
50;15
51;25
52;20
53;10
54;20
55;20
56;5
57;15
58;35
59;10
60;15
61;5
62;25
63;15
64;15
65;10
66;25
67;15
68;10
69;15
70;15
71;15
72;5
73;35
74;10
75;15
76;10
77;20
78;5
79;15
80;15
81;15
82;20
83;15
84;10
85;10
86;15
87;30
88;10
89;15
90;5
91;5
92;20
93;25
94;5
95;20
96;10
97;15
98;5
99;20
100;10
101;5
102;10
103;10
104;45
105;5
106;10
107;10
108;10
109;20
110;20
111;20
112;5
113;10
114;15
115;20
116;15
117;15
118;5
119;5
120;15
121;5
122;20
123;5
124;20
125;10
126;15
127;10
128;10
129;10
130;5
131;15
132;10
133;20
134;20
135;10
136;10
137;20
138;10
139;40
140;5
141;15
142;10
143;25
144;5
145;10
146;5
147;20
148;15
149;5
150;10
151;15
152;5
153;15
154;15
155;10
156;5
157;10
158;15
159;5
timestamp;utility
1;55
2;40
3;115
4;35
5;115
6;95
7;100
8;90
9;115
10;100
11;65
12;85
13;105
14;145
15;75
16;30
17;150
18;100
19;115
20;105
21;45
22;105
23;115
24;105
25;105
26;110
27;115
28;95
timestamp;utility
1;25
2;55
3;65
4;60
5;35
6;55
7;50
8;55
9;45
10;40
11;30
12;45
13;75
14;75
15;70
16;65
17;75
18;75
19;90
20;115
21;50
timestamp;utility
1;25
2;55
3;65
4;60
5;35
6;55
7;50
8;55
9;45
10;40
11;30
12;45
13;75
14;75
15;70
16;65
17;75
18;75
19;90
20;115
21;50
timestamp;utility
1;25
2;55
3;65
4;60
5;35
6;55
7;50
8;55
9;45
10;40
11;30
12;45
13;75
14;75
15;70
16;65
17;75
18;75
19;90
20;115
21;50
timestamp;utility
1;5
2;5
3;10
4;10
5;30
6;25
7;35
8;25
9;25
10;35
11;40
12;25
13;30
14;25
15;30
16;30
17;45
18;25
19;70
20;25
21;20
22;35
23;30
24;30
25;30
26;35
27;25
28;50
29;30
30;50
31;40
32;20
33;25
34;35
35;20
36;35
37;30
38;40
39;25
40;35
41;25
42;60
43;65
44;25
45;35
46;30
47;35
48;25
49;35
50;30
51;35
52;25
53;45
54;60
55;60
56;30
57;25
58;40
59;20
60;15
61;35
