timestamp;utility
14201712267;19
14201712268;29.25
14201712269;28.5
14201712270;30.75
14201712271;34.25
14201712272;25.75
14201712273;31.5
14201712274;31.25
14201712275;30.25
14201712276;19.75
14201712277;35
14201712278;24.75
14201712279;24.75
14201712280;35.5
14201712281;20
14201712282;26
14201712283;33.5
14201712284;33.5
14201712285;33.75
14201712286;32
14201712287;37
14201712288;31
14201712289;32.25
14201712290;30
14201712291;35.25
14201712292;28.75
14201712293;26
14201712294;25.5
14201712295;35.25
14201712296;36.5
14201712297;37.25
14201712298;30
14201712299;29.25
14201712300;29
14201712301;33.25
14201712302;25
14201712303;31.25
14201712304;25.25
14201712305;27
14201712306;36.75
14201712307;49.25
14201712308;45.75
14201712309;45.5
14201712310;52.5
14201712311;53.5
14201712312;38
14201712313;58.5
14201712314;51.75
14201712315;53.5
14201712316;63.75
14201712317;74
14201712318;52.5
14201712319;74
14201712320;65.75
14201712321;70.75
14201712322;54.25
14201712323;48.5
14201712324;49
14201712325;48.5
14201712326;55
14201712327;71.25
14201712328;16.75
14201712329;7.25
14201712330;14.5
14201712331;13.75
14201712332;19.75
14201712333;12.25
14201712334;23.5
14201712335;14.75
14201712336;16
14201712337;13.25
14201712338;13.5
14201712339;14.75
14201712340;12.5
14201712341;12.75
14201712342;17.75
14201712343;12
