timestamp;utility
14201712358;20.75
14201712359;32.5
14201712360;40.25
14201712361;48.75
14201712362;49.75
14201712363;47.5
14201712364;49.25
14201712365;61.5
14201712366;38.5
14201712367;43.25
14201712368;47
14201712369;42.25
14201712370;46.5
14201712371;46.25
14201712372;37
14201712373;47.25
14201712374;39.75
14201712375;55.25
14201712376;37.75
14201712377;46
14201712378;35.75
14201712379;51
14201712380;48
14201712381;42.5
14201712382;45.5
14201712383;40.75
14201712384;35
14201712385;51.5
14201712386;43.5
14201712387;45.75
14201712388;43.5
14201712389;44.5
14201712390;55.25
14201712391;41.5
14201712392;35.5
14201712393;39.25
14201712394;61.75
14201712395;56.5
14201712396;16.75
timestamp;utility
14201712358;20.75
14201712359;32.5
14201712360;40.25
14201712361;48.75
14201712362;49.75
14201712363;47.5
14201712364;49.25
14201712365;61.5
14201712366;38.5
14201712367;43.25
14201712368;47
14201712369;42.25
14201712370;46.5
14201712371;46.25
14201712372;37
14201712373;47.25
14201712374;39.75
14201712375;55.25
14201712376;37.75
14201712377;46
14201712378;35.75
14201712379;51
14201712380;48
14201712381;42.5
14201712382;45.5
14201712383;40.75
14201712384;35
14201712385;51.5
14201712386;43.5
14201712387;45.75
14201712388;43.5
14201712389;44.5
14201712390;55.25
14201712391;41.5
14201712392;35.5
14201712393;39.25
14201712394;61.75
14201712395;56.5
14201712396;16.75
timestamp;utility
14201712358;20.75
14201712359;32.5
14201712360;40.25
14201712361;48.75
14201712362;49.75
14201712363;47.5
14201712364;49.25
14201712365;61.5
14201712366;38.5
14201712367;43.25
14201712368;47
14201712369;42.25
14201712370;46.5
14201712371;46.25
14201712372;37
14201712373;47.25
14201712374;39.75
14201712375;55.25
14201712376;37.75
14201712377;46
14201712378;35.75
14201712379;51
14201712380;48
14201712381;42.5
14201712382;45.5
14201712383;40.75
14201712384;35
14201712385;51.5
14201712386;43.5
14201712387;45.75
14201712388;43.5
14201712389;44.5
14201712390;55.25
14201712391;41.5
14201712392;35.5
14201712393;39.25
14201712394;61.75
14201712395;56.5
14201712396;16.75
timestamp;utility
14201712358;20.75
14201712359;32.5
14201712360;40.25
14201712361;48.75
14201712362;49.75
14201712363;47.5
14201712364;49.25
14201712365;61.5
14201712366;38.5
14201712367;43.25
14201712368;47
14201712369;42.25
14201712370;46.5
14201712371;46.25
14201712372;37
14201712373;47.25
14201712374;39.75
14201712375;55.25
14201712376;37.75
14201712377;46
14201712378;35.75
14201712379;51
14201712380;48
14201712381;42.5
14201712382;45.5
14201712383;40.75
14201712384;35
14201712385;51.5
14201712386;43.5
14201712387;45.75
14201712388;43.5
14201712389;44.5
14201712390;55.25
14201712391;41.5
14201712392;35.5
14201712393;39.25
14201712394;61.75
14201712395;56.5
14201712396;16.75
timestamp;utility
14201712358;20.75
14201712359;32.5
14201712360;40.25
14201712361;48.75
14201712362;49.75
14201712363;47.5
14201712364;49.25
14201712365;61.5
14201712366;38.5
14201712367;43.25
14201712368;47
14201712369;42.25
14201712370;46.5
14201712371;46.25
14201712372;37
14201712373;47.25
14201712374;39.75
14201712375;55.25
14201712376;37.75
14201712377;46
14201712378;35.75
14201712379;51
14201712380;48
14201712381;42.5
14201712382;45.5
14201712383;40.75
14201712384;35
14201712385;51.5
14201712386;43.5
14201712387;45.75
14201712388;43.5
14201712389;44.5
14201712390;55.25
14201712391;41.5
14201712392;35.5
14201712393;39.25
14201712394;61.75
14201712395;56.5
14201712396;16.75
