timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;0.186633720930233;0.186633720930233;0.373267441860465;118;118;236;75.0833333333333;75.0833333333333;150.166666666667
2;0.277848837209302;0.277848837209302;0.555697674418604;183.5;183.5;367;116.333333333333;116.333333333333;232.666666666666
3;0.317825581395348;0.317825581395348;0.635651162790697;202.5;202.5;405;125.75;125.75;251.5
4;0.361593023255814;0.361593023255814;0.723186046511628;225.5;225.5;451;138.25;138.25;276.5
5;0.275127906976744;0.275127906976744;0.550255813953488;173.5;173.5;347;107.666666666667;107.666666666667;215.333333333334
6;0.283680232558139;0.283680232558139;0.567360465116279;182;182;364;113.916666666667;113.916666666667;227.833333333333
7;0.290093023255813;0.290093023255813;0.580186046511627;189;189;378;119.083333333333;119.083333333333;238.166666666666
8;0.277046511627906;0.277046511627906;0.554093023255813;178.5;178.5;357;112;112;224
9;0.277796511627907;0.277796511627907;0.555593023255813;184.5;184.5;369;117.5;117.5;235
10;0.308011627906977;0.308011627906977;0.616023255813954;189.5;189.5;379;115.75;115.75;231.5
11;0.297924418604651;0.297924418604651;0.595848837209302;184.5;184.5;369;113.083333333333;113.083333333333;226.166666666667
12;0.311912790697675;0.311912790697675;0.623825581395349;197.5;197.5;395;122.333333333333;122.333333333333;244.666666666667
13;0.305662790697674;0.305662790697674;0.611325581395348;186.5;186.5;373;113.25;113.25;226.5
14;0.312499999999999;0.312499999999999;0.312499999999999;154;154;154;83;83;83
15;0.365558139534883;0.365558139534883;0.365558139534883;180;180;180;96;96;96
