timestamp;utility;agent_index;meeting_index 
1;655.200000000001;343;249.933333333333;
2;128.3;68;68;
3;90.94;48;48;
4;90.94;48;48;
5;90.94;48;48;
6;90.94;48;48;
7;90.94;48;48;
8;90.94;48;48;
9;90.94;48;48;
10;90.94;48;48;
11;90.94;48;48;
12;90.94;48;48;
13;90.94;48;48;
14;90.94;48;48;
15;90.94;48;48;
16;90.94;48;48;
17;90.94;48;48;
18;90.94;48;48;
19;90.94;48;48;
20;90.94;48;48;
21;90.94;48;48;
22;90.94;48;48;
23;90.94;48;48;
24;817.980000000002;425;317.616666666667;
25;191.46;100;100;
26;177.9;93;93;
27;177.9;93;93;
28;177.9;93;93;
29;177.9;93;93;
30;177.9;93;93;
31;177.9;93;93;
32;177.9;93;93;
33;177.9;93;93;
34;177.9;93;93;
35;177.9;93;93;
36;177.9;93;93;
37;177.9;93;93;
38;177.9;93;93;
39;177.9;93;93;
40;177.9;93;93;
41;177.9;93;93;
42;177.9;93;93;
43;177.9;93;93;
44;177.9;93;93;
45;177.9;93;93;
46;177.9;93;93;
47;177.9;93;93;
48;177.9;93;93;
49;177.9;93;93;
50;177.9;93;93;
51;177.9;93;93;
52;177.9;93;93;
53;177.9;93;93;
54;177.9;93;93;
55;177.9;93;93;
56;177.9;93;93;
57;177.9;93;93;
58;177.9;93;93;
59;177.9;93;93;
60;177.9;93;93;
61;177.9;93;93;
62;177.9;93;93;
63;177.9;93;93;
64;177.9;93;93;
65;177.9;93;93;
66;177.9;93;93;
67;177.9;93;93;
68;177.9;93;93;
69;177.9;93;93;
70;177.9;93;93;
71;177.9;93;93;
72;177.9;93;93;
73;177.9;93;93;
74;177.9;93;93;
75;177.9;93;93;
76;177.9;93;93;
77;177.9;93;93;
78;177.9;93;93;
79;177.9;93;93;
80;177.9;93;93;
81;177.9;93;93;
82;177.9;93;93;
83;189.66;99;97.8;
84;256.3;133;125;
85;183.78;96;95.2;
86;183.78;96;95.2;
87;183.78;96;95.2;
88;183.78;96;95.2;
89;703.070000000001;365;281.033333333333;
90;450.03;234;219.816666666667;
91;308.37;161;154.65;
92;313.16;163;156.65;
93;315.09;164;157.4;
94;313.16;163;156.65;
95;318.87;166;159.177777777778;
96;328.24;171;163.9;
97;600.76;323;295.788888888889;
98;1035.02;559;490.445634920633;
99;1173.55;630;526.925793650796;
100;2477.53000000002;1307;1013.12420634921;
101;2340.30000000003;1238;1012.64603174603;
102;2404.68000000003;1274;1045.3623015873;
103;2513.28000000002;1332;1088.87182539683;
104;2494.59000000003;1322;1081.27976190476;
105;2491.37000000002;1321;1081.2246031746;
106;2268.17000000003;1205;988.90515873016;
107;1483.35000000001;795;666.019444444447;
108;2010.88000000002;1070;884.959523809526;
109;2348.37000000002;1244;1017.38333333333;
110;2500.16000000003;1326;1086.5;
111;1454.81;779;654.850396825399;
112;2079.71000000003;1107;912.305555555557;
113;2567.65000000002;1361;1114.43888888889;
114;2375.26000000003;1261;1034.76071428571;
115;2487.43000000003;1319;1081.39166666667;
116;2494.11000000002;1322;1084.41666666667;
117;2596.99000000001;1374;1124.39920634921;
118;2548.30000000002;1348;1103.9496031746;
119;2686.39000000001;1420;1159.46944444444;
120;2719.18;1439;1177.70555555556;
