timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;1.88189795918367;1.73609523809524;13.1732857142857;207.928571428571;192;1455.5;150.673809523809;133.25;1054.71666666667
2;2.47902380952381;2.50488095238096;14.8741428571429;279;293.5;1674;203.027777777778;213.708333333333;1218.16666666667
3;2.57638888888889;2.55264285714286;15.4583333333334;290.166666666667;302;1741;211.552777777778;224.333333333333;1269.31666666667
4;2.64725396825398;2.66330952380953;15.8835238095239;298.333333333333;310;1790;217.625;225.374999999999;1305.75
5;2.71647619047619;2.90926190476192;16.2988571428572;307;322.5;1842;224.363888888889;234.916666666667;1346.18333333333
6;2.89824761904763;2.93152380952383;14.4912380952381;328.2;336;1641;248.38;257.25;1241.9
7;2.93298095238096;2.93152380952383;14.6649047619048;331.8;340;1659;251.13;260.25;1255.65
8;2.91619047619048;2.92438095238095;14.5809523809524;330;335;1650;249.836666666667;254.75;1249.18333333333
9;2.95244047619048;3.06428571428571;11.8097619047619;337.25;355;1349;260.575;270.875;1042.3
10;2.99294047619048;3.09211904761905;11.9717619047619;341;362;1364;263.5125;276.125;1054.05
11;2.79120238095239;2.80000000000001;11.1648095238096;316.5;320;1266;245.025;244.625;980.100000000001
12;2.99553571428572;3.1547380952381;11.9821428571429;341.25;369.5;1365;263.5125;281.5;1054.05
13;2.85304761904762;3.01361904761905;8.55914285714287;332.333333333333;352;997;258.516666666667;269.25;775.550000000001
14;2.7955;2.7955;5.59100000000001;314.5;314.5;629;246.875000000001;246.875000000001;493.750000000001
15;2.15300000000001;2.15300000000001;2.15300000000001;244;244;244;198.4;198.4;198.4
16;2.3912380952381;2.3912380952381;2.3912380952381;271;271;271;220.000000000001;220.000000000001;220.000000000001
17;2.48809523809524;2.48809523809524;2.48809523809524;282;282;282;228.800000000001;228.800000000001;228.800000000001
18;2.52333333333334;2.52333333333334;2.52333333333334;286;286;286;232.000000000001;232.000000000001;232.000000000001
19;2.54085714285714;2.54085714285714;2.54085714285714;288;288;288;233.600000000001;233.600000000001;233.600000000001
20;2.39976190476191;2.39976190476191;2.39976190476191;272;272;272;220.800000000001;220.800000000001;220.800000000001
21;2.29352380952381;2.29352380952381;2.29352380952381;260;260;260;211.200000000001;211.200000000001;211.200000000001
22;2.3467619047619;2.3467619047619;2.3467619047619;266;266;266;216.000000000001;216.000000000001;216.000000000001
