timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
1;1.10248;1.10248;1.10248;139.75;139.75;139.75;98.3333333333334;98.3333333333334;98.3333333333334
2;1.49256;1.49256;1.49256;188;188;188;127;127;127
3;1.37308;1.37308;1.37308;173;173;173;117;117;117
4;1.49252;1.49252;1.49252;188;188;188;127;127;127
5;1.46864;1.46864;1.46864;185;185;185;125;125;125
6;1.46864;1.46864;1.46864;185;185;185;125;125;125
7;1.44472;1.44472;1.44472;182;182;182;123;123;123
8;1.44472;1.44472;1.44472;182;182;182;123;123;123
9;1.4368;1.4368;1.4368;181;181;181;122.333333333334;122.333333333334;122.333333333334
10;1.38896;1.38896;1.38896;175;175;175;118.333333333334;118.333333333334;118.333333333334
11;1.48464;1.48464;1.48464;187;187;187;126.333333333334;126.333333333334;126.333333333334
12;1.42872;1.42872;1.42872;180;180;180;121.666666666667;121.666666666667;121.666666666667
13;1.25352;1.25352;1.25352;158;158;158;107;107;107
14;1.30136;1.30136;1.30136;164;164;164;111;111;111
15;1.17396;1.17396;1.17396;148;148;148;100.333333333333;100.333333333333;100.333333333333
16;1.52432;1.52432;1.52432;192;192;192;129.666666666667;129.666666666667;129.666666666667
17;1.44468;1.44468;1.44468;182;182;182;123;123;123
